iter	Passed	Remaining
0	0	80
1	1	80
2	2	75
3	2	70
4	3	71
5	4	72
6	5	74
7	7	83
8	8	86
9	9	89
10	10	88
11	11	85
12	12	84
13	13	82
14	14	81
15	15	78
16	16	78
17	16	76
18	17	76
19	19	77
20	20	77
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	25	69
27	26	68
28	27	67
29	28	65
30	28	64
31	31	66
32	32	66
33	33	65
34	34	64
35	35	62
36	36	61
37	36	60
38	38	59
39	39	58
40	39	57
41	40	55
42	40	54
43	43	55
44	44	54
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	51	47
52	52	46
53	53	45
54	54	44
55	57	44
56	58	43
57	59	42
58	60	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	64	34
65	65	33
66	67	33
67	69	32
68	70	31
69	70	30
70	71	29
71	72	28
72	72	26
73	73	25
74	74	24
75	75	23
76	75	22
77	76	21
78	77	20
79	78	19
80	80	18
81	81	17
82	82	16
83	83	15
84	83	14
85	84	13
86	85	12
87	85	11
88	86	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	89	4
95	91	3
96	93	2
97	94	1
98	95	0
99	95	0
